client_id,client_name,client_type,segment,region,state,book_size_policies,primary_contact,onboarded_date
CLI0001,Heritage Insurance Services,RIA,Enterprise,South,TN,679,Linda Scott,2023-12-11
CLI0002,Anchor Financial Group,Independent Advisor,Small,Midwest,MN,97,Robert Allen,2019-11-22
CLI0003,Beacon Wealth Management,Independent Advisor,Mid-Market,South,FL,152,George Phillips,2023-05-14
CLI0004,Anchor Insurance Agency,Independent Advisor,Mid-Market,South,TX,214,Carol Clark,2022-04-11
CLI0005,Cornerstone Financial Advisors,BGA,Small,Midwest,WI,72,Donna Walker,2021-04-18
CLI0006,Cedar Insurance Agency,IMO,Mid-Market,Midwest,WI,148,Mary Turner,2024-01-19
CLI0007,Northstar Benefits Group,Bank Channel,Mid-Market,South,TN,148,Daniel Scott,2019-07-14
CLI0008,Cornerstone Advisory,RIA,Small,Midwest,IL,30,Mark King,2022-01-07
CLI0009,Keystone Benefits Group,RIA,Mid-Market,Northeast,CT,370,Robert Robinson,2021-07-11
CLI0010,Keystone Financial Advisors,RIA,Mid-Market,Midwest,MN,254,Karen Thompson,2023-01-19
CLI0011,Redwood Wealth Partners,IMO,Small,Northeast,CT,84,Nancy Roberts,2020-10-29
CLI0012,Riverbend Benefits Group,Bank Channel,Mid-Market,West,AZ,127,Kevin Campbell,2021-09-23
CLI0013,Beacon Financial Group,RIA,Mid-Market,Northeast,MA,233,Kevin Green,2019-10-04
CLI0014,Lakeshore Financial Network,Independent Advisor,Small,Northeast,MA,117,Patricia Turner,2019-07-30
CLI0015,Cedar Benefits Group,Independent Advisor,Small,West,WA,119,Sharon Allen,2021-07-13
CLI0016,Sterling Financial Advisors,Independent Advisor,Small,South,NC,40,Carol Young,2019-09-20
CLI0017,Lakeshore Insurance Services,Bank Channel,Mid-Market,South,VA,244,Karen Scott,2021-08-19
CLI0018,Redwood Financial Advisors,Independent Advisor,Mid-Market,Midwest,OH,165,Jennifer Campbell,2022-10-12
CLI0019,Evergreen Financial Group,Bank Channel,Mid-Market,South,GA,189,Elizabeth Anderson,2022-09-17
CLI0020,Harbor Financial Advisors,RIA,Small,Northeast,NJ,37,Kevin Hill,2021-03-07
CLI0021,Magnolia Financial Network,BGA,Enterprise,West,AZ,655,Joseph Green,2020-05-09
CLI0022,Crestview Financial Advisors,Independent Advisor,Mid-Market,West,AZ,170,Patricia Robinson,2022-05-31
CLI0023,Heritage Insurance Agency,Independent Advisor,Small,West,CO,104,Linda Scott,2023-01-22
CLI0024,Magnolia Financial Group,Bank Channel,Enterprise,West,WA,921,George Young,2020-07-14
CLI0025,Meridian Insurance Agency,BGA,Mid-Market,Northeast,PA,142,Daniel Nelson,2023-06-18
CLI0026,Bluestone Capital,Independent Advisor,Small,West,NV,40,William Nelson,2020-11-29
CLI0027,Fairway & Associates,BGA,Small,Midwest,WI,103,Susan Clark,2022-06-15
CLI0028,Birchwood Wealth Management,RIA,Small,West,NV,18,Robert Parker,2021-05-31
CLI0029,Westbridge Capital,Wirehouse Branch,Mid-Market,Northeast,NJ,381,Carol Mitchell,2020-10-07
CLI0030,Highland Wealth Management,RIA,Small,Northeast,NJ,102,Joseph Evans,2022-07-26
CLI0031,Riverbend Advisory,BGA,Small,Midwest,MO,76,James Anderson,2020-10-07
CLI0032,Riverbend Capital,Independent Advisor,Mid-Market,South,NC,389,Cynthia Evans,2020-11-22
CLI0033,Meridian Retirement Solutions,Independent Advisor,Small,West,AZ,33,David Wright,2022-03-18
